Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Blacktown (NSW),2015-01-08 10:00:00 +1000,632.178,32.367,25.2,13.343
Blacktown (NSW),2015-01-08 11:00:00 +1000,741.638,33.069,26.6,14.99
Blacktown (NSW),2015-01-08 12:00:00 +1000,789.627,37.25,28.8,15.561
Blacktown (NSW),2015-01-08 13:00:00 +1000,786.963,36.772,30.3,15.405
Blacktown (NSW),2015-01-08 14:00:00 +1000,727.663,37.227,31.2,14.44
Blacktown (NSW),2015-01-08 15:00:00 +1000,614.431,37.518,32.2,12.668
Blacktown (NSW),2015-01-08 16:00:00 +1000,447.246,34.144,31.7,9.381
Blacktown (NSW),2015-01-08 17:00:00 +1000,230.065,32.186,29.9,5.376
Blacktown (NSW),2015-01-08 18:00:00 +1000,53.033,28.27,28,1.148
Blacktown (NSW),2015-01-08 19:00:00 +1000,42.055,27.538,27.1,0.925
Blacktown (NSW),2015-01-08 20:00:00 +1000,3.34,25.622,25.6,0.089
Blacktown (NSW),2015-01-08 21:00:00 +1000,0,24.386,24.4,
Blacktown (NSW),2015-01-08 22:00:00 +1000,0,24.171,22.5,
Blacktown (NSW),2015-01-08 23:00:00 +1000,0,23.372,23,
Blacktown (NSW),2015-01-09 00:00:00 +1000,0,23.356,22.7,
Blacktown (NSW),2015-01-09 01:00:00 +1000,0,22.791,22,
Blacktown (NSW),2015-01-09 02:00:00 +1000,0,22.315,21.4,
Blacktown (NSW),2015-01-09 03:00:00 +1000,0,21.979,21.4,
Blacktown (NSW),2015-01-09 04:00:00 +1000,0,21.974,20.7,
Blacktown (NSW),2015-01-09 05:00:00 +1000,0,21.85,20.9,
Blacktown (NSW),2015-01-09 06:00:00 +1000,9.342,22.296,20.9,0.194
Blacktown (NSW),2015-01-09 07:00:00 +1000,77.25,27.863,22.2,1.584
Blacktown (NSW),2015-01-09 08:00:00 +1000,249.867,29.945,24.3,5.681
Blacktown (NSW),2015-01-09 09:00:00 +1000,464.446,32.563,26.2,10.049
Blacktown (NSW),2015-01-09 10:00:00 +1000,515.451,34.725,27.4,10.71
Blacktown (NSW),2015-01-09 11:00:00 +1000,630.184,35.922,28.7,12.756
Blacktown (NSW),2015-01-09 12:00:00 +1000,728.549,39.416,29.7,14.205
Blacktown (NSW),2015-01-09 13:00:00 +1000,655.741,40.356,32.9,12.765
Blacktown (NSW),2015-01-09 14:00:00 +1000,649.892,41.002,34.7,12.659
Blacktown (NSW),2015-01-09 15:00:00 +1000,150.327,34.31,34.2,3.211
Blacktown (NSW),2015-01-09 16:00:00 +1000,19.221,25.2,25.9,0.329
Blacktown (NSW),2015-01-09 17:00:00 +1000,37.3,21.507,20.8,0.736
Blacktown (NSW),2015-01-09 18:00:00 +1000,37.707,23.325,23.3,0.805
Blacktown (NSW),2015-01-09 19:00:00 +1000,6.837,23.945,23.5,0.129
Blacktown (NSW),2015-01-09 20:00:00 +1000,0,23.237,23.1,0
Blacktown (NSW),2015-01-09 21:00:00 +1000,0,22.574,22.4,
Blacktown (NSW),2015-01-09 22:00:00 +1000,0,22.712,21.7,
Blacktown (NSW),2015-01-09 23:00:00 +1000,0.004,21.288,22.7,
Blacktown (NSW),2015-01-10 00:00:00 +1000,0,23.593,23.1,
Blacktown (NSW),2015-01-10 01:00:00 +1000,0,22.821,22.4,
Blacktown (NSW),2015-01-10 02:00:00 +1000,0,22.436,21.6,
Blacktown (NSW),2015-01-10 03:00:00 +1000,0,22.249,21.2,
Blacktown (NSW),2015-01-10 04:00:00 +1000,0,22.258,21.3,
Blacktown (NSW),2015-01-10 05:00:00 +1000,0,22.218,21.5,
Blacktown (NSW),2015-01-10 06:00:00 +1000,5.53,22.331,21.6,0.134
Blacktown (NSW),2015-01-10 07:00:00 +1000,43.171,23.184,21.7,0.922
Blacktown (NSW),2015-01-10 08:00:00 +1000,112.878,24.638,21.9,2.435
Blacktown (NSW),2015-01-10 09:00:00 +1000,313.765,27.529,23,6.798
Blacktown (NSW),2015-01-10 10:00:00 +1000,528.174,31.588,24.6,11.106
Blacktown (NSW),2015-01-10 11:00:00 +1000,531.012,34.505,26.6,11.079
Blacktown (NSW),2015-01-10 12:00:00 +1000,377.953,34.493,27.3,8.236
Blacktown (NSW),2015-01-10 13:00:00 +1000,370.5,34.826,28.4,8.044
Blacktown (NSW),2015-01-10 14:00:00 +1000,264.563,34.048,28.9,5.81
Blacktown (NSW),2015-01-10 15:00:00 +1000,200.458,32.415,28.4,4.405
Blacktown (NSW),2015-01-10 16:00:00 +1000,176.828,29.207,27.3,3.909
Blacktown (NSW),2015-01-10 17:00:00 +1000,161.991,30.573,27.4,3.559
Blacktown (NSW),2015-01-10 18:00:00 +1000,12.307,26.289,27.1,0.233
Blacktown (NSW),2015-01-10 19:00:00 +1000,2.368,21.612,21.3,0.027
Blacktown (NSW),2015-01-10 20:00:00 +1000,0,21.882,20.9,0
Blacktown (NSW),2015-01-10 21:00:00 +1000,0,21.842,20.8,
Blacktown (NSW),2015-01-10 22:00:00 +1000,0,21.707,20.9,
Blacktown (NSW),2015-01-10 23:00:00 +1000,0,20.651,20.7,
Blacktown (NSW),2015-01-11 00:00:00 +1000,0,20.936,20.4,
Blacktown (NSW),2015-01-11 01:00:00 +1000,0,20.708,20.2,
Blacktown (NSW),2015-01-11 02:00:00 +1000,0,20.655,20.4,
Blacktown (NSW),2015-01-11 03:00:00 +1000,0,20.652,20.1,
Blacktown (NSW),2015-01-11 04:00:00 +1000,0,20.545,20.3,
Blacktown (NSW),2015-01-11 05:00:00 +1000,0,20.256,19.9,
Blacktown (NSW),2015-01-11 06:00:00 +1000,0.915,20.24,19.7,0.009
Blacktown (NSW),2015-01-11 07:00:00 +1000,9.355,20.243,19.8,0.124
Blacktown (NSW),2015-01-11 08:00:00 +1000,11.876,20.321,19.9,0.185
Blacktown (NSW),2015-01-11 09:00:00 +1000,49.176,20.458,19.8,0.991
Blacktown (NSW),2015-01-11 10:00:00 +1000,62.225,20.921,19.9,1.269
Blacktown (NSW),2015-01-11 11:00:00 +1000,63.767,20.88,20,1.258
Blacktown (NSW),2015-01-11 12:00:00 +1000,136.485,20.713,20.1,2.807
Blacktown (NSW),2015-01-11 13:00:00 +1000,145.032,21.1,20.3,3.016
Blacktown (NSW),2015-01-11 14:00:00 +1000,132.705,20.983,20.2,2.769
Blacktown (NSW),2015-01-11 15:00:00 +1000,107.809,21.015,20.4,2.207
Blacktown (NSW),2015-01-11 16:00:00 +1000,80.465,20.313,20.1,1.652
Blacktown (NSW),2015-01-11 17:00:00 +1000,77.65,20.851,20.4,1.637
Blacktown (NSW),2015-01-11 18:00:00 +1000,53.048,20.968,20.3,1.114
Blacktown (NSW),2015-01-11 19:00:00 +1000,13.032,20.919,20.4,0.241
Blacktown (NSW),2015-01-11 20:00:00 +1000,0.099,20.577,20.2,0.003
Blacktown (NSW),2015-01-11 21:00:00 +1000,0,20.477,20.1,
Blacktown (NSW),2015-01-11 22:00:00 +1000,0,20.554,20,
Blacktown (NSW),2015-01-11 23:00:00 +1000,0,20.419,20.2,
Blacktown (NSW),2015-01-12 00:00:00 +1000,0,20.246,20,
Blacktown (NSW),2015-01-12 01:00:00 +1000,0,19.486,19.7,
Blacktown (NSW),2015-01-12 02:00:00 +1000,0,19.558,19.6,
Blacktown (NSW),2015-01-12 03:00:00 +1000,0,20.236,19.6,
Blacktown (NSW),2015-01-12 04:00:00 +1000,0,19.999,19.6,
Blacktown (NSW),2015-01-12 05:00:00 +1000,0,19.928,19.6,
Blacktown (NSW),2015-01-12 06:00:00 +1000,10.065,19.889,19.4,0.181
Blacktown (NSW),2015-01-12 07:00:00 +1000,55.203,20.659,19.5,1.163
Blacktown (NSW),2015-01-12 08:00:00 +1000,130.586,21.661,19.9,2.847
Blacktown (NSW),2015-01-12 09:00:00 +1000,171.203,22.722,20.9,3.741
Blacktown (NSW),2015-01-12 10:00:00 +1000,230.653,23.282,21.4,5.083
Blacktown (NSW),2015-01-12 11:00:00 +1000,283.773,23.853,22,6.078
Blacktown (NSW),2015-01-12 12:00:00 +1000,339.318,24.015,23.1,7.316
Blacktown (NSW),2015-01-12 13:00:00 +1000,290.077,23.827,23.5,6.379
Blacktown (NSW),2015-01-12 14:00:00 +1000,284.017,23.825,23.3,6.279
Blacktown (NSW),2015-01-12 15:00:00 +1000,151.164,23.254,22.4,3.287
Blacktown (NSW),2015-01-12 16:00:00 +1000,163.915,23.489,22.7,3.601
Blacktown (NSW),2015-01-12 17:00:00 +1000,110.885,23.06,22.2,2.448
Blacktown (NSW),2015-01-12 18:00:00 +1000,62.987,22.443,22,1.379
Blacktown (NSW),2015-01-12 19:00:00 +1000,20.61,21.805,21.4,0.43
Blacktown (NSW),2015-01-12 20:00:00 +1000,0.74,21.138,20.8,0.019
Blacktown (NSW),2015-01-12 21:00:00 +1000,0,20.877,20.5,
Blacktown (NSW),2015-01-12 22:00:00 +1000,0,20.675,19.9,
Blacktown (NSW),2015-01-12 23:00:00 +1000,0.165,23.143,19.9,
Blacktown (NSW),2015-01-13 00:00:00 +1000,0,19.927,20.1,
Blacktown (NSW),2015-01-13 01:00:00 +1000,0,18.719,18.9,
Blacktown (NSW),2015-01-13 02:00:00 +1000,0.027,18.879,19.3,
Blacktown (NSW),2015-01-13 03:00:00 +1000,0,18.656,19.2,
Blacktown (NSW),2015-01-13 04:00:00 +1000,0,18.438,18.6,
Blacktown (NSW),2015-01-13 05:00:00 +1000,0,18.548,18.9,
Blacktown (NSW),2015-01-13 06:00:00 +1000,4.591,18.71,18.9,0.117
Blacktown (NSW),2015-01-13 07:00:00 +1000,41.462,19.608,19.3,0.893
Blacktown (NSW),2015-01-13 08:00:00 +1000,129.224,21.927,19.7,2.801
Blacktown (NSW),2015-01-13 09:00:00 +1000,240.045,26.24,20.9,5.222
Blacktown (NSW),2015-01-13 10:00:00 +1000,304.963,26.923,22.6,6.609
Blacktown (NSW),2015-01-13 11:00:00 +1000,546.507,30.189,23.2,10.882
Blacktown (NSW),2015-01-13 12:00:00 +1000,437.535,30.882,24.3,8.979
Blacktown (NSW),2015-01-13 13:00:00 +1000,843.349,33.208,26.4,16.429
Blacktown (NSW),2015-01-13 14:00:00 +1000,731.713,34.286,27.4,14.476
Blacktown (NSW),2015-01-13 15:00:00 +1000,358.648,32.204,28.1,7.643
Blacktown (NSW),2015-01-13 16:00:00 +1000,291.447,32.791,28.3,6.262
Blacktown (NSW),2015-01-13 17:00:00 +1000,174.413,28.748,26.9,3.817
Blacktown (NSW),2015-01-13 18:00:00 +1000,61.789,26.776,25.9,1.318
Blacktown (NSW),2015-01-13 19:00:00 +1000,18.503,25.729,25.2,0.377
Blacktown (NSW),2015-01-13 20:00:00 +1000,0,24.993,24,0
Blacktown (NSW),2015-01-13 21:00:00 +1000,0.019,24.185,24.1,
Blacktown (NSW),2015-01-13 22:00:00 +1000,0.14,23.477,23.3,
Blacktown (NSW),2015-01-13 23:00:00 +1000,0,23.049,23.4,
Blacktown (NSW),2015-01-14 00:00:00 +1000,0.404,23.025,23.1,
Blacktown (NSW),2015-01-14 01:00:00 +1000,0,22.804,23.4,
Blacktown (NSW),2015-01-14 02:00:00 +1000,0,23.33,23.5,
Blacktown (NSW),2015-01-14 03:00:00 +1000,0,23.47,23.8,
Blacktown (NSW),2015-01-14 04:00:00 +1000,0,23.708,24,
Blacktown (NSW),2015-01-14 05:00:00 +1000,0,23.288,22.7,
Blacktown (NSW),2015-01-14 06:00:00 +1000,7.359,23.27,22.2,0.121
Blacktown (NSW),2015-01-14 07:00:00 +1000,67.681,29.295,23.3,1.401
Blacktown (NSW),2015-01-14 08:00:00 +1000,263.321,30.506,25.5,6.05
Blacktown (NSW),2015-01-14 09:00:00 +1000,299.741,30.809,27.8,6.502
Blacktown (NSW),2015-01-14 10:00:00 +1000,609.78,32.57,29.1,12.818
Blacktown (NSW),2015-01-14 11:00:00 +1000,776.115,34.645,29.9,15.747
Blacktown (NSW),2015-01-14 12:00:00 +1000,814.59,35.484,30.3,16.269
Blacktown (NSW),2015-01-14 13:00:00 +1000,810.883,35.226,31.1,16.218
Blacktown (NSW),2015-01-14 14:00:00 +1000,759.177,34.749,31,15.274
Blacktown (NSW),2015-01-14 15:00:00 +1000,650.009,33.956,30.9,13.433
Blacktown (NSW),2015-01-14 16:00:00 +1000,487.532,33.392,30.3,10.726
Blacktown (NSW),2015-01-14 17:00:00 +1000,271.764,32.69,29.9,6.442
Blacktown (NSW),2015-01-14 18:00:00 +1000,84.747,30.528,29.6,2.015
Blacktown (NSW),2015-01-14 19:00:00 +1000,30.686,28.6,28.1,0.677
Blacktown (NSW),2015-01-14 20:00:00 +1000,1.807,26.407,25.8,0.03
Blacktown (NSW),2015-01-14 21:00:00 +1000,0,25.219,24.6,
Blacktown (NSW),2015-01-14 22:00:00 +1000,0,24.155,23.4,
Blacktown (NSW),2015-01-14 23:00:00 +1000,0,21.984,22.6,
Blacktown (NSW),2015-01-15 00:00:00 +1000,0,22.28,22.1,
Blacktown (NSW),2015-01-15 01:00:00 +1000,0,21.631,20.4,
