Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Blacktown (NSW),2015-01-01 00:00:00 +1000,0,24.49,23.8,
Blacktown (NSW),2015-01-01 01:00:00 +1000,0,21.289,21.5,
Blacktown (NSW),2015-01-01 02:00:00 +1000,0,20.325,20.6,
Blacktown (NSW),2015-01-01 03:00:00 +1000,0,19.273,19.4,
Blacktown (NSW),2015-01-01 04:00:00 +1000,0,18.718,18.7,
Blacktown (NSW),2015-01-01 05:00:00 +1000,0.004,18.28,18.3,0
Blacktown (NSW),2015-01-01 06:00:00 +1000,14.303,19.495,17.8,0.282
Blacktown (NSW),2015-01-01 07:00:00 +1000,82.999,26.591,19.6,1.89
Blacktown (NSW),2015-01-01 08:00:00 +1000,262.618,27.9,22.1,6.174
Blacktown (NSW),2015-01-01 09:00:00 +1000,468.005,30.453,23.7,10.358
Blacktown (NSW),2015-01-01 10:00:00 +1000,628.454,33.512,24.9,13.195
Blacktown (NSW),2015-01-01 11:00:00 +1000,733.968,35.409,26.4,14.823
Blacktown (NSW),2015-01-01 12:00:00 +1000,783.893,36.894,28.7,15.49
Blacktown (NSW),2015-01-01 13:00:00 +1000,776.428,38.721,30.3,15.304
Blacktown (NSW),2015-01-01 14:00:00 +1000,711.551,39.246,31.8,14.167
Blacktown (NSW),2015-01-01 15:00:00 +1000,583.239,40.315,32.6,12.044
Blacktown (NSW),2015-01-01 16:00:00 +1000,392.139,36.641,32.1,8.565
Blacktown (NSW),2015-01-01 17:00:00 +1000,238.288,33.408,30.7,5.547
Blacktown (NSW),2015-01-01 18:00:00 +1000,112.415,32.398,29.6,2.662
Blacktown (NSW),2015-01-01 19:00:00 +1000,66.908,31.055,29,1.518
Blacktown (NSW),2015-01-01 20:00:00 +1000,2.399,27.669,27.2,0.064
Blacktown (NSW),2015-01-01 21:00:00 +1000,0,26.374,25.6,
Blacktown (NSW),2015-01-01 22:00:00 +1000,0,25.914,24.9,
Blacktown (NSW),2015-01-01 23:00:00 +1000,0,23.663,24.4,
Blacktown (NSW),2015-01-02 00:00:00 +1000,0,24.49,23.8,
Blacktown (NSW),2015-01-02 01:00:00 +1000,0,24.13,23.3,
Blacktown (NSW),2015-01-02 02:00:00 +1000,0,23.222,22,
Blacktown (NSW),2015-01-02 03:00:00 +1000,0,22.297,21.5,
Blacktown (NSW),2015-01-02 04:00:00 +1000,0,22.471,20.8,
Blacktown (NSW),2015-01-02 05:00:00 +1000,0,22.378,21.7,
Blacktown (NSW),2015-01-02 06:00:00 +1000,1.924,22.084,21.6,0.035
Blacktown (NSW),2015-01-02 07:00:00 +1000,61.393,22.964,21.9,1.34
Blacktown (NSW),2015-01-02 08:00:00 +1000,183.954,24.783,22.6,4.132
Blacktown (NSW),2015-01-02 09:00:00 +1000,467.231,26.578,24.8,10.278
Blacktown (NSW),2015-01-02 10:00:00 +1000,512.188,28.769,25.4,10.631
Blacktown (NSW),2015-01-02 11:00:00 +1000,679.95,31.702,26.9,13.607
Blacktown (NSW),2015-01-02 12:00:00 +1000,731.812,33.178,28,14.523
Blacktown (NSW),2015-01-02 13:00:00 +1000,803.392,32.454,28.8,15.961
Blacktown (NSW),2015-01-02 14:00:00 +1000,269.705,29.87,28.7,5.824
Blacktown (NSW),2015-01-02 15:00:00 +1000,60.832,27.413,26.3,1.285
Blacktown (NSW),2015-01-02 16:00:00 +1000,63.624,26.649,25.1,1.39
Blacktown (NSW),2015-01-02 17:00:00 +1000,106.885,27.507,25.9,2.426
Blacktown (NSW),2015-01-02 18:00:00 +1000,71.238,27.726,25.8,1.621
Blacktown (NSW),2015-01-02 19:00:00 +1000,23.934,26.652,25.4,0.533
Blacktown (NSW),2015-01-02 20:00:00 +1000,0.695,25.352,24.6,0.023
Blacktown (NSW),2015-01-02 21:00:00 +1000,0,24.569,23.4,
Blacktown (NSW),2015-01-02 22:00:00 +1000,0,24.247,22.6,
Blacktown (NSW),2015-01-02 23:00:00 +1000,0.008,23.817,22.9,
Blacktown (NSW),2015-01-03 00:00:00 +1000,0,23.402,22.7,
Blacktown (NSW),2015-01-03 01:00:00 +1000,0,23.011,22.9,
Blacktown (NSW),2015-01-03 02:00:00 +1000,0,22.437,22.9,
Blacktown (NSW),2015-01-03 03:00:00 +1000,0,22.17,22.3,
Blacktown (NSW),2015-01-03 04:00:00 +1000,0,21.733,22.2,
Blacktown (NSW),2015-01-03 05:00:00 +1000,0,21.467,21.7,
Blacktown (NSW),2015-01-03 06:00:00 +1000,12.023,21.668,21,0.1
Blacktown (NSW),2015-01-03 07:00:00 +1000,76.085,26.71,22.3,0.867
Blacktown (NSW),2015-01-03 08:00:00 +1000,261.672,29.509,24.1,5.969
Blacktown (NSW),2015-01-03 09:00:00 +1000,464.188,32.461,25.9,10.182
Blacktown (NSW),2015-01-03 10:00:00 +1000,626.391,35.111,27.4,13.046
Blacktown (NSW),2015-01-03 11:00:00 +1000,736.306,35.446,28.6,14.722
Blacktown (NSW),2015-01-03 12:00:00 +1000,799.735,37.683,29.9,15.33
Blacktown (NSW),2015-01-03 13:00:00 +1000,777.075,37.559,31.8,14.987
Blacktown (NSW),2015-01-03 14:00:00 +1000,725.784,38.524,32.2,14.276
Blacktown (NSW),2015-01-03 15:00:00 +1000,608.32,36.927,32.2,12.566
Blacktown (NSW),2015-01-03 16:00:00 +1000,448.948,35.086,31.3,9.866
Blacktown (NSW),2015-01-03 17:00:00 +1000,247.917,33.101,30,5.954
Blacktown (NSW),2015-01-03 18:00:00 +1000,73.38,31.329,28.8,1.845
Blacktown (NSW),2015-01-03 19:00:00 +1000,21.662,28.397,27.5,0.39
Blacktown (NSW),2015-01-03 20:00:00 +1000,1.969,26.042,26.1,0.038
Blacktown (NSW),2015-01-03 21:00:00 +1000,0,25.109,24.6,
Blacktown (NSW),2015-01-03 22:00:00 +1000,0,24.525,23.3,
Blacktown (NSW),2015-01-03 23:00:00 +1000,0,22.678,23.1,
Blacktown (NSW),2015-01-04 00:00:00 +1000,0.012,23.388,22.8,
Blacktown (NSW),2015-01-04 01:00:00 +1000,0.102,22.561,22.4,
Blacktown (NSW),2015-01-04 02:00:00 +1000,0.082,22.305,21.6,
Blacktown (NSW),2015-01-04 03:00:00 +1000,0.004,21.491,20.6,
Blacktown (NSW),2015-01-04 04:00:00 +1000,0,21.785,20.5,
Blacktown (NSW),2015-01-04 05:00:00 +1000,0.035,21.158,20.1,
Blacktown (NSW),2015-01-04 06:00:00 +1000,12.344,21.932,19.9,0.205
Blacktown (NSW),2015-01-04 07:00:00 +1000,79.873,27.34,21.7,1.708
Blacktown (NSW),2015-01-04 08:00:00 +1000,262.083,28.379,23.6,6.095
Blacktown (NSW),2015-01-04 09:00:00 +1000,464.037,32.334,25.5,10.129
Blacktown (NSW),2015-01-04 10:00:00 +1000,621.729,36.045,27.9,12.854
Blacktown (NSW),2015-01-04 11:00:00 +1000,725.977,39.049,29.9,14.344
Blacktown (NSW),2015-01-04 12:00:00 +1000,777.584,39.25,32,14.993
Blacktown (NSW),2015-01-04 13:00:00 +1000,741.085,44.14,32.9,14.137
Blacktown (NSW),2015-01-04 14:00:00 +1000,239.865,36.912,33.5,5.076
Blacktown (NSW),2015-01-04 15:00:00 +1000,285.318,35.758,30.2,6.281
Blacktown (NSW),2015-01-04 16:00:00 +1000,303.612,36.124,31.7,6.703
Blacktown (NSW),2015-01-04 17:00:00 +1000,141.561,32.864,30.6,3.145
Blacktown (NSW),2015-01-04 18:00:00 +1000,52.323,30.41,29.4,1.164
Blacktown (NSW),2015-01-04 19:00:00 +1000,6.995,29.091,28.3,0.133
Blacktown (NSW),2015-01-04 20:00:00 +1000,0.019,24.336,23.8,
Blacktown (NSW),2015-01-04 21:00:00 +1000,0,23.716,22.9,
Blacktown (NSW),2015-01-04 22:00:00 +1000,0.015,22.574,21.5,
Blacktown (NSW),2015-01-04 23:00:00 +1000,0,21.626,21.5,
Blacktown (NSW),2015-01-05 00:00:00 +1000,0,22.598,21.3,
Blacktown (NSW),2015-01-05 01:00:00 +1000,0.016,22.08,21.3,
Blacktown (NSW),2015-01-05 02:00:00 +1000,0.028,21.47,20.5,
Blacktown (NSW),2015-01-05 03:00:00 +1000,0.02,21.187,20.3,
Blacktown (NSW),2015-01-05 04:00:00 +1000,0,20.865,20.3,
Blacktown (NSW),2015-01-05 05:00:00 +1000,0,20.602,19.7,
Blacktown (NSW),2015-01-05 06:00:00 +1000,0.573,20.649,19.9,0.004
Blacktown (NSW),2015-01-05 07:00:00 +1000,39.762,21.114,20,0.856
Blacktown (NSW),2015-01-05 08:00:00 +1000,88.473,22.04,20.5,1.908
Blacktown (NSW),2015-01-05 09:00:00 +1000,76.129,22.576,20.8,1.65
Blacktown (NSW),2015-01-05 10:00:00 +1000,271.752,26.492,22.2,5.939
Blacktown (NSW),2015-01-05 11:00:00 +1000,245.136,27.374,22.9,5.366
Blacktown (NSW),2015-01-05 12:00:00 +1000,126.248,25.754,24,2.789
Blacktown (NSW),2015-01-05 13:00:00 +1000,263.019,26.7,24.4,5.807
Blacktown (NSW),2015-01-05 14:00:00 +1000,328.319,29.436,25.2,7.203
Blacktown (NSW),2015-01-05 15:00:00 +1000,408.85,29.879,25.4,8.786
Blacktown (NSW),2015-01-05 16:00:00 +1000,332.276,30.264,26.7,7.329
Blacktown (NSW),2015-01-05 17:00:00 +1000,186.052,28.921,26.6,4.276
Blacktown (NSW),2015-01-05 18:00:00 +1000,84.383,27.864,25.8,1.958
Blacktown (NSW),2015-01-05 19:00:00 +1000,39.26,25.249,24.7,0.937
Blacktown (NSW),2015-01-05 20:00:00 +1000,4.85,23.177,22.9,0.203
Blacktown (NSW),2015-01-05 21:00:00 +1000,0,22.095,21.9,
Blacktown (NSW),2015-01-05 22:00:00 +1000,0,21.434,21.2,
Blacktown (NSW),2015-01-05 23:00:00 +1000,0,23.457,21.5,
Blacktown (NSW),2015-01-06 00:00:00 +1000,0,21.106,20.9,
Blacktown (NSW),2015-01-06 01:00:00 +1000,0,20.743,20.6,
Blacktown (NSW),2015-01-06 02:00:00 +1000,0,20.675,20.1,
Blacktown (NSW),2015-01-06 03:00:00 +1000,0,20.258,19.5,
Blacktown (NSW),2015-01-06 04:00:00 +1000,0,20.16,19.5,
Blacktown (NSW),2015-01-06 05:00:00 +1000,0,20.66,19.7,
Blacktown (NSW),2015-01-06 06:00:00 +1000,22.55,21.189,19.4,0.272
Blacktown (NSW),2015-01-06 07:00:00 +1000,87.878,23.804,20.4,1.303
Blacktown (NSW),2015-01-06 08:00:00 +1000,225.609,25.842,22.3,5.115
Blacktown (NSW),2015-01-06 09:00:00 +1000,327.338,26.769,24,7.067
Blacktown (NSW),2015-01-06 10:00:00 +1000,385.33,30.441,25.1,8.122
Blacktown (NSW),2015-01-06 11:00:00 +1000,606.687,32.155,26.4,12.256
Blacktown (NSW),2015-01-06 12:00:00 +1000,782.677,34.548,26.1,15.26
Blacktown (NSW),2015-01-06 13:00:00 +1000,656.959,33.317,27,12.884
Blacktown (NSW),2015-01-06 14:00:00 +1000,315.262,30.973,27.1,6.557
Blacktown (NSW),2015-01-06 15:00:00 +1000,300.315,30.329,27.3,6.454
Blacktown (NSW),2015-01-06 16:00:00 +1000,372.703,31.21,27.2,8.147
Blacktown (NSW),2015-01-06 17:00:00 +1000,194.926,30.113,27.3,4.528
Blacktown (NSW),2015-01-06 18:00:00 +1000,90.744,29.576,27,2.168
Blacktown (NSW),2015-01-06 19:00:00 +1000,33.237,26.512,25.2,0.73
Blacktown (NSW),2015-01-06 20:00:00 +1000,2.62,24.311,24.1,0.072
Blacktown (NSW),2015-01-06 21:00:00 +1000,0,24.075,23.8,
Blacktown (NSW),2015-01-06 22:00:00 +1000,0,23.731,23.6,
Blacktown (NSW),2015-01-06 23:00:00 +1000,0,21.407,23.3,
Blacktown (NSW),2015-01-07 00:00:00 +1000,0,22.534,23,
Blacktown (NSW),2015-01-07 01:00:00 +1000,0,21.998,22.4,
Blacktown (NSW),2015-01-07 02:00:00 +1000,0,21.408,21.3,
Blacktown (NSW),2015-01-07 03:00:00 +1000,0,20.48,20.1,
Blacktown (NSW),2015-01-07 04:00:00 +1000,0,20.426,19.9,
Blacktown (NSW),2015-01-07 05:00:00 +1000,0,20.597,20.5,
Blacktown (NSW),2015-01-07 06:00:00 +1000,10.942,20.968,20.2,0.101
Blacktown (NSW),2015-01-07 07:00:00 +1000,79.95,28.252,21.4,0.937
Blacktown (NSW),2015-01-07 08:00:00 +1000,244.287,28.44,22.6,5.597
Blacktown (NSW),2015-01-07 09:00:00 +1000,451.787,30.525,25.6,9.807
Blacktown (NSW),2015-01-07 10:00:00 +1000,633.534,32.848,26.9,13.149
Blacktown (NSW),2015-01-07 11:00:00 +1000,724.334,35.07,28.4,14.492
Blacktown (NSW),2015-01-07 12:00:00 +1000,780.631,36.116,29.4,15.275
Blacktown (NSW),2015-01-07 13:00:00 +1000,688.14,36.936,30.4,13.389
Blacktown (NSW),2015-01-07 14:00:00 +1000,533.402,34.399,31,10.684
Blacktown (NSW),2015-01-07 15:00:00 +1000,621.939,34.76,30.8,12.898
Blacktown (NSW),2015-01-07 16:00:00 +1000,458.296,34.072,30.2,9.674
Blacktown (NSW),2015-01-07 17:00:00 +1000,254.418,31.841,29.6,6.034
Blacktown (NSW),2015-01-07 18:00:00 +1000,76.525,30.156,27.7,1.907
Blacktown (NSW),2015-01-07 19:00:00 +1000,27.062,26.864,25.9,0.547
Blacktown (NSW),2015-01-07 20:00:00 +1000,2.473,23.958,23.9,0.059
Blacktown (NSW),2015-01-07 21:00:00 +1000,0,23.041,22.5,
Blacktown (NSW),2015-01-07 22:00:00 +1000,0,22.233,21.6,
Blacktown (NSW),2015-01-07 23:00:00 +1000,0,23.977,21.5,
Blacktown (NSW),2015-01-08 00:00:00 +1000,0,20.853,19.9,
Blacktown (NSW),2015-01-08 01:00:00 +1000,0,20.257,19.3,
Blacktown (NSW),2015-01-08 02:00:00 +1000,0,19.231,18.4,
Blacktown (NSW),2015-01-08 03:00:00 +1000,0,18.331,17.6,
Blacktown (NSW),2015-01-08 04:00:00 +1000,0,18.388,17.4,
Blacktown (NSW),2015-01-08 05:00:00 +1000,0,17.722,17.4,
Blacktown (NSW),2015-01-08 06:00:00 +1000,10.556,18.441,17,0.19
Blacktown (NSW),2015-01-08 07:00:00 +1000,70.838,27.485,19.1,1.629
Blacktown (NSW),2015-01-08 08:00:00 +1000,255.754,26.829,21.8,6.051
Blacktown (NSW),2015-01-08 09:00:00 +1000,465.374,29.383,23.1,10.364
